,ucl_id,operator_intid,operator_altid,operator_name,lat,lon,initial_bikes,initial_size,curr_bikes,curr_size,created_dt,updated_dt,neighbors_1,neighbors_2
0,836,0,0,"York Way, Kings Cross",51.541596000000006,-0.125441,1,24,4,24,2018-09-06 11:58:04,2020-02-14 17:38:02,[],"[806, 804, 431, 362, 34]"
1,234,234,234,"Liverpool Road (N1 Centre), Angel",51.534504,-0.106993,8,24,7,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[75, 93]","[93, 75, 339, 695, 189]"
2,117,117,117,"Lollard Street, Vauxhall",51.492881,-0.114934,11,25,9,25,2010-08-06 01:00:00,2020-02-14 17:38:02,"[310, 91]","[310, 91, 139, 441, 86]"
3,120,120,120,"The Guildhall, Guildhall",51.515735,-0.093081,12,17,10,17,2010-08-06 01:00:00,2020-02-14 17:38:02,"[427, 127, 838]","[127, 427, 838, 509, 126]"
4,343,343,343,"London Zoo Car Park, The Regent's Park",51.536922,-0.15018099999999998,29,36,5,36,2015-05-21 14:50:02,2020-02-14 17:38:02,[535],"[535, 456, 271, 545, 572]"
5,519,519,519,"Teviot Street, Poplar",51.518811,-0.011662,15,33,19,33,2012-03-12 11:20:17,2020-02-14 17:38:02,[],"[523, 499, 554, 496, 468]"
6,271,271,271,"London Zoo,  The Regent's Park",51.535835999999996,-0.15628499999999998,29,32,0,32,2015-05-21 14:38:01,2020-02-14 17:38:02,[],"[329, 343, 535, 7, 456]"
7,669,669,669,"Teversham Lane, Stockwell",51.476149,-0.123259,26,39,11,39,2014-02-19 18:15:01,2020-02-14 17:38:02,[794],"[794, 808, 676, 802, 772]"
8,308,308,308,"Long Lane , Bermondsey",51.499076,-0.08566599999999999,2,20,5,20,2010-08-06 01:00:00,2020-02-14 17:38:02,[314],"[314, 321, 61, 269, 706]"
9,19,19,19,"Taviton Street, Bloomsbury",51.525051,-0.131161,15,30,26,30,2010-08-06 01:00:00,2020-02-14 17:38:02,"[287, 65, 214, 69, 795]","[214, 795, 287, 69, 65]"
10,76,76,76,"Longford Street, The Regent's Park",51.525595,-0.144084,8,21,6,21,2015-05-21 14:48:02,2020-02-14 17:38:02,[28],"[28, 540, 98, 239, 184]"
11,363,363,363,"Lord's, St. John's Wood",51.529121,-0.171185,0,24,0,24,2011-06-29 15:40:02,2020-02-14 17:38:02,[247],"[247, 60, 286, 590, 312]"
12,746,746,746,"Lots Road, West Chelsea",51.479574,-0.179039,17,24,4,24,2014-02-19 18:15:01,2020-02-14 17:38:02,"[745, 649]","[649, 745, 651, 700, 739]"
13,347,347,347,"Lower Marsh, Waterloo",51.500139000000004,-0.113936,3,17,13,17,2010-10-08 01:00:00,2020-02-14 17:38:02,"[284, 815, 272]","[284, 815, 272, 641, 371]"
14,276,276,276,"Lower Thames Street, Monument",51.509302000000005,-0.084985,10,24,8,24,2010-08-06 01:00:00,2020-02-14 17:38:02,"[587, 199]","[587, 199, 732, 340, 579]"
15,335,335,335,"Tavistock Street, Covent Garden",51.511967999999996,-0.120719,30,33,27,33,2010-08-06 01:00:00,2020-02-14 17:38:02,"[388, 594, 338, 309]","[338, 388, 309, 594, 564]"
16,262,262,262,"LSBU (Borough Road), Elephant &amp; Castle",51.498745,-0.10313299999999999,22,35,10,35,2011-08-16 12:12:53,2020-02-14 17:38:02,"[324, 92, 80]","[92, 80, 324, 549, 548]"
17,351,351,351,"Macclesfield Rd, St Lukes",51.529423,-0.097122,7,28,5,28,2011-02-01 00:00:00,2020-02-14 17:38:02,"[42, 365, 30]","[365, 30, 42, 344, 107]"
18,687,687,687,"Maclise Road, Olympia",51.497608,-0.211456,12,26,5,26,2014-02-19 18:15:01,2020-02-14 17:38:02,"[293, 515, 666]","[293, 515, 666, 274, 634]"
19,8,0,0,"Maida Vale, Maida Vale",51.529857,-0.18348599999999998,1,39,5,39,2018-10-31 11:10:02,2020-02-14 17:38:02,[],"[312, 255, 286, 47, 394]"
20,12,12,12,"Malet Street, Bloomsbury",51.521681,-0.130432,25,40,26,49,2010-08-06 01:00:00,2020-02-14 17:38:02,"[364, 287]","[364, 287, 88, 19, 796]"
21,208,208,208,"Mallory Street, Marylebone",51.525052,-0.166304,7,20,5,20,2010-08-06 01:00:00,2020-02-14 17:38:02,"[760, 759]","[759, 760, 182, 45, 60]"
22,472,472,472,"Malmesbury Road, Bow",51.529452,-0.027616,11,21,15,21,2012-03-12 11:20:17,2020-02-14 17:38:02,[470],"[470, 498, 497, 471, 517]"
