"system","ucl_id","operator_intid","operator_altid","operator_name","notes","lat","lon","initial_bikes","initial_size","curr_bikes","curr_size","created_dt","updated_dt","updated_dt_nonzerobikes","pedelec","operator_installflag","operator_lockflag","operator_tempflag"
"london","428","428","428"," Exhibition Road Museums, Knightsbridge",,"51.499917","-0.174554","0","20","0","20","2018-04-26 23:00:03","2018-04-26 23:00:03",NULL,"0","1","0","0"
"london","86","86","86"," Vauxhall*",,"51.489479","-0.115157","5","24","5","24","2015-02-13 18:02:36","2015-02-13 18:02:36","2015-02-13 18:02:36","0","1","0","0"
"london","108","108","108","Abbey Orchard Street, Westminster",,"51.498126","-0.132102","17","29","4","29","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","559","559","559","Abbotsbury Road, Holland Park",,"51.501391","-0.205991","20","24","4","24","2013-07-09 11:26:09","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","394","394","394","Aberdeen Place, St. John's Wood",,"51.524826","-0.176268","0","17","1","18","2011-06-29 15:40:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","554","554","554","Aberfeldy Street, Poplar",,"51.513548","-0.005659","9","16","6","16","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","583","583","583","Abingdon Green, Great College Street",,"51.497622","-0.125978","8","20","12","20","2013-07-09 11:26:09","2015-05-21 14:44:01","2015-05-21 14:44:01","0","1","0","0"
"london","583","583","583","Abingdon Green, Westminster",,"51.497622","-0.125978","13","20","4","20","2015-05-21 14:46:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","38","38","38","Abingdon Villas, Kensington",,"51.497388","-0.197246","10","17","2","17","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","776","776","776","Abyssinia Close, Clapham Junction",,"51.460333","-0.167029","14","20","5","20","2015-01-12 21:14:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","505","505","505","Ackroyd Drive, Bow",,"51.520398","-0.026768","7","29","2","29","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","718","718","718","Ada Street, Hackney Central",,"51.535717","-0.060292","7","45","1","45","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","606","606","606","Addison Road, Holland Park",,"51.504199","-0.210941","14","26","4","26","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","616","616","616","Aintree Street, Fulham",,"51.481021","-0.209973","0","24","13","24","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","540","540","540","Albany Street, Regent's Park",,"51.528302","-0.144466","13","27","6","27","2012-03-12 11:20:17","2015-05-21 14:50:02","2015-05-21 14:50:02","0","1","0","0"
"london","540","540","540","Albany Street, The Regent's Park",,"51.528302","-0.144466","6","27","4","27","2015-05-21 14:52:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","710","710","710","Albert Bridge Road, Battersea Park",,"51.474392","-0.163348","4","20","11","20","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","100","100","100","Albert Embankment, Vauxhall",,"51.490436","-0.122807","15","24","14","24","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","483","483","483","Albert Gardens, Stepney",,"51.513280","-0.047784","6","33","6","33","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","303","303","303","Albert Gate, Hyde Park",,"51.502954","-0.158456","11","28","0","34","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:34:02","0","1","0","0"
"london","802","802","802","Albert Square, Stockwell",,"51.476590","-0.118257","0","32","10","32","2016-05-26 13:52:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","185","185","185","Alderney Street, Pimlico",,"51.488058","-0.140741","7","14","9","14","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","95","95","95","Aldersgate Street, Barbican",,"51.520842","-0.097340","8","15","13","15","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","364","364","364","Alfred Place, Bloomsbury",,"51.519656","-0.132339","21","41","26","41","2011-06-29 15:40:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","726","726","726","Alfreda Street, Battersea Park",,"51.475051","-0.150908","1","22","14","22","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","661","661","661","All Saints Church, Portobello",,"51.516321","-0.202609","2","37","17","37","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","643","643","643","All Saints' Road, Portobello",,"51.519043","-0.204764","7","22","2","22","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","826","826","826","Allington street, Off Victoria Street, Westminster",,"51.496863","-0.142943","10","28","11","28","2018-01-29 11:48:02","2018-02-01 14:00:02","2018-02-01 14:00:02","0","1","0","0"
"london","826","0","0","Allington Street, Victoria",,"51.496863","-0.142943","25","28","26","28","2018-08-29 11:02:03","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","826","826","826","Allington street, Westminster",,"51.496863","-0.142943","2","28","24","28","2017-07-20 13:52:01","2018-08-29 11:00:04","2018-08-29 11:00:04","0","1","0","0"
"london","826","826","826","Allington street, Westminster, SW1E 5EB",,"51.496863","-0.142943","0","0","2","28","2017-06-07 11:46:02","2017-07-20 13:50:02","2017-07-20 13:50:02","0","1","0","0"
"london","724","724","724","Alma Road, Wandsworth",,"51.457991","-0.184806","1","28","0","28","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 10:06:02","0","1","0","0"
"london","576","576","576","Alpha Grove, Millwall",,"51.497304","-0.022793","15","23","3","22","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","33","33","33","Altab Ali Park, Whitechapel",,"51.515600","-0.070056","0","18","0","18","2016-02-23 16:04:01","2016-04-20 10:06:01","2016-04-20 10:06:01","0","1","0","0"
"london","33","33","33","Altab Ali Park, Whitechapel",,"51.516816","-0.067828","12","16","0","16","2010-08-06 01:00:00","2015-02-27 16:54:06","2015-02-27 16:54:06","0","1","0","0"
"london","26","26","26","Ampton Street , Clerkenwell",,"51.527281","-0.118295","14","21","7","21","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","86","86","86","ancroft Street, Vauxhall",,"51.489479","-0.115157","5","24","5","24","2015-02-13 18:02:36","2015-02-13 18:02:36","2015-02-13 18:02:36","0","1","0","0"
"london","500","500","500","Ansell House, Stepney",,"51.519806","-0.055731","20","41","9","41","2016-04-15 11:56:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","518","518","518","Antill Road, Mile End",,"51.528224","-0.037471","15","30","3","30","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","175","175","175","Appold Street, Liverpool Street",,"51.521744","-0.081119","8","26","22","26","2010-08-06 01:00:00","2018-06-22 14:44:03","2018-06-22 14:44:03","0","1","0","0"
"london","785","785","785","Aquatic Centre, Newham",,"51.540940","-0.010511","0","64","31","64","2016-01-20 21:06:02","2016-01-27 12:28:02","2016-01-27 12:28:02","0","1","0","0"
"london","785","785","785","Aquatic Centre, Queen Elizabeth Olympic Park",,"51.540940","-0.010511","30","64","53","64","2016-01-27 12:30:06","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","641","641","641","Archbishop's Park, Waterloo",,"51.498242","-0.117496","8","23","14","23","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","168","168","168","Argyll Road, Kensington",,"51.500401","-0.195456","9","19","18","19","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","545","545","545","Arlington Road, Camden Town",,"51.539957","-0.145246","9","24","22","24","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","79","79","79","Arundel Street, Temple",,"51.511726","-0.113856","0","18","12","18","2018-03-05 08:32:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","670","670","670","Ashley Crescent, Battersea",,"51.467186","-0.152249","5","28","3","28","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","177","177","177","Ashley Place, Victoria",,"51.496161","-0.140948","13","25","16","25","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","654","654","654","Ashmole Estate, Oval",,"51.482678","-0.117662","7","34","3","34","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","461","461","461","Aston Street, Stepney",,"51.516000","-0.038775","19","26","6","26","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","1"
"london","664","664","664","Austin Road, Battersea",,"51.474376","-0.155443","3","24","8","24","2014-02-19 18:15:01","2015-05-21 15:10:02","2015-05-21 15:10:02","0","1","0","0"
"london","664","664","664","Austin Road, Battersea Park",,"51.474376","-0.155443","8","24","17","24","2015-05-21 15:12:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","715","715","715","Aylward Street, Stepney",,"51.515630","-0.049067","17","22","4","21","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","121","121","121","Baker Street, Marylebone",,"51.518913","-0.156167","8","22","0","22","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:18:02","0","1","0","0"
"london","319","319","319","Baldwin Street, St. Luke's",,"51.527026","-0.088543","11","21","14","21","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","520","520","520","Bancroft Road, Bethnal Green",,"51.526041","-0.047218","11","21","5","21","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","340","340","340","Bank of England Museum, Bank",,"51.514441","-0.087587","11","16","4","16","2010-10-08 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","193","193","193","Bankside Mix, Bankside",,"51.505818","-0.100186","33","33","38","60","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","275","275","275","Barbican Centre, Barbican",,"51.520045","-0.092176","13","19","10","19","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensingto",,"51.490218","-0.215087","9","32","9","32","2019-05-02 19:28:46","2019-05-02 19:28:46","2019-05-02 19:28:46","0","1","0","0"
"london","707","0","0","Barons Court Station, West Kensington",,"5.490218","-0.215087","6","32","6","32","2019-05-02 19:46:04","2019-05-02 19:46:04","2019-05-02 19:46:04","0","1","0","0"
